Category,Carboidratos,Colesterol,Fibra,Calorias,Manganês,Proteína,Selênio,Açúcar,Lipídios,Cálcio,Cobre,Ferro,Magnésio,Fósforo,Potássio,Sódio,Zinco,Vitamina C,Vitamina E,Vitamina K,Vitamina A,Vitamina B
Abacates,8.33,0.0,6.3666666350000005,149.0,0.12866666666666668,2.063333333333333,0.26666666666666666,1.1266667046666667,13.376666666666667,11.666666666666666,0.22366666666666668,0.44333333333333336,27.333333333333332,48.666666666666664,447.6666666666667,5.666666666666667,0.5733333333333334,12.066666666666668,2.2333333333333334,14.0,0.0,12.405333333333333
Abacaxi,15.535,0.0,0.9199999988,59.7,0.9881,0.44299999999999995,0.23000000000000004,11.5319999693,0.10800000000000001,13.5,0.1004,0.333,14.0,6.7,112.6,1.1,0.11000000000000001,17.79,0.012,0.4699999999999999,0.0,5.1746
Abalone,8.530000000000001,89.5,0.0,147.0,0.05500000000000001,18.365000000000002,48.3,0.0,3.77,34.0,0.21200000000000002,3.495,52.0,203.5,267.0,446.0,0.885,1.9,2.0,11.5,2.0,38.315000000000005
Abiyuch,17.6,0.0,5.300000191,69.0,0.182,1.5,0.0,8.550000191,0.1,8.0,0.057,1.61,24.0,47.0,304.0,20.0,0.31,54.1,0.0,0.0,0.0,0.0
Abóbora,6.731372549019608,0.0,1.413725488235294,28.627450980392158,0.16319607843137254,1.0845098039215686,0.34117647058823525,1.5070588238039215,0.21490196078431376,21.568627450980394,0.06931372549019608,0.5333333333333333,19.15686274509804,28.901960784313726,236.86274509803923,85.72549019607843,0.2150980392156863,8.135294117647058,0.2656862745098039,2.3019607843137257,0.0,5.708549019607844
Abóbora Cera,2.83,0.0,1.6333333650000001,12.666666666666666,0.05666666666666667,0.4000000000000001,0.20000000000000004,0.7866666320000001,0.20000000000000004,18.333333333333332,0.022333333333333334,0.3866666666666667,10.0,17.666666666666668,5.333333333333333,187.0,0.5966666666666667,11.333333333333334,0.05333333333333334,1.8666666666666665,0.0,3.954
Acelga,4.0,0.0,1.9333332779999999,19.666666666666668,0.3446666666666667,1.8533333333333333,0.9,1.100000024,0.12,55.666666666666664,0.16833333333333333,2.1066666666666665,84.33333333333333,37.333333333333336,492.3333333333333,269.0,0.34,22.0,1.89,494.8666666666666,0.0,26.085666666666665
Acerola,7.69,0.0,1.100000024,32.0,0.0,0.4,0.6,0.0,0.3,12.0,0.086,0.2,18.0,11.0,146.0,7.0,0.1,1677.6,0.0,0.0,0.0,0.798
Acompanhamentos,13.53,60.0,0.0,114.0,0.074,1.53,0.9,0.0,6.03,14.0,0.079,0.73,8.0,56.0,270.0,328.0,0.2,1.1,0.0,0.0,30.0,1.09
Adoçantes,88.852,0.0,0.0200000002,340.6,0.0,0.622,0.32,82.983999634,0.0,0.2,0.0516,0.05800000000000001,0.0,0.0,2.4,88.4,0.022,0.0,0.0,0.0,0.0,0.004
